"placa;fecha;hora;ingreso;;;;;;;;"
"JOY 791;01/03/2017;07:32:46;E;;;;;;;;"
"QVE 247;01/03/2017;07:35:42;S;;;;;;;;"
"OQA 123;01/03/2017;07:46:48;E;;;;;;;;"
"VSK 574;01/03/2017;07:46:58;S;;;;;;;;"
"OQA 123;01/03/2017;07:52:08;E;;;;;;;;"
"AQM 623;01/03/2017;07:53:16;E;;;;;;;;"
"VJH 018;01/03/2017;08:00:38;E;;;;;;;;"
"RYP 420;01/03/2017;08:12:52;E;;;;;;;;"
"AIK 988;01/03/2017;08:37:15;E;;;;;;;;"
"EIU 411;01/03/2017;08:40:22;E;;;;;;;;"
"WRK 529;01/03/2017;09:01:16;E;;;;;;;;"
"DBF 586;01/03/2017;09:06:27;E;;;;;;;;"
"ANW 825;01/03/2017;09:09:02;E;;;;;;;;"
"QHX 217;01/03/2017;09:40:42;E;;;;;;;;"
"KXH 499;01/03/2017;10:11:13;S;;;;;;;;"
"VRV 762;01/03/2017;10:17:52;E;;;;;;;;"
"XAA 808;01/03/2017;10:22:01;E;;;;;;;;"
"YPF 622;01/03/2017;10:29:39;S;;;;;;;;"
"RYP 420;01/03/2017;10:30:37;S;;;;;;;;"
"VYK 993;01/03/2017;10:39:54;E;;;;;;;;"
"XJX 090;01/03/2017;10:41:48;E;;;;;;;;"
"ANW 825;01/03/2017;10:43:08;S;;;;;;;;"
"DWM 401;01/03/2017;11:02:44;E;;;;;;;;"
"KQX 110;01/03/2017;11:24:17;E;;;;;;;;"
"TXV 782;01/03/2017;11:30:27;E;;;;;;;;"
"CRV 013;01/03/2017;11:59:08;E;;;;;;;;"
"TKG 428;01/03/2017;12:22:45;E;;;;;;;;"
"KLL 245;01/03/2017;12:24:39;E;;;;;;;;"
"YLG 158;01/03/2017;12:43:30;E;;;;;;;;"
"VEV 529;01/03/2017;13:06:22;S;;;;;;;;"
"UAO 814;01/03/2017;13:06:57;S;;;;;;;;"
"VBW 646;01/03/2017;13:11:49;E;;;;;;;;"
"ENS 290;01/03/2017;13:13:06;E;;;;;;;;"
"BHS 776;01/03/2017;13:19:33;E;;;;;;;;"
"BGM 086;01/03/2017;13:23:33;E;;;;;;;;"
"XJX 090;01/03/2017;13:24:43;S;;;;;;;;"
"QUZ 524;01/03/2017;13:26:03;S;;;;;;;;"
"WRK 529;01/03/2017;13:34:24;E;;;;;;;;"
"YTW 247;01/03/2017;13:38:03;E;;;;;;;;"
"AIK 988;01/03/2017;13:39:06;E;;;;;;;;"
"DAQ 047;01/03/2017;13:40:29;S;;;;;;;;"
"PXG 238;01/03/2017;13:51:42;E;;;;;;;;"
"SBO 355;01/03/2017;13:53:54;S;;;;;;;;"
"VLI 398;01/03/2017;13:57:38;E;;;;;;;;"
"MXK 156;01/03/2017;13:59:57;S;;;;;;;;"
"VWE 470;01/03/2017;14:09:48;E;;;;;;;;"
"YXJ 408;01/03/2017;14:18:39;E;;;;;;;;"
"KHA 024;01/03/2017;14:20:21;E;;;;;;;;"
"HQB 791;01/03/2017;14:36:24;E;;;;;;;;"
"KHA 024;01/03/2017;14:41:14;S;;;;;;;;"
"TIA 999;01/03/2017;14:41:23;E;;;;;;;;"
"PIY 725;01/03/2017;15:07:15;E;;;;;;;;"
"KTU 617;01/03/2017;15:18:24;E;;;;;;;;"
"EBO 588;01/03/2017;15:19:56;E;;;;;;;;"
"PBH 815;01/03/2017;15:21:28;S;;;;;;;;"
"HBP 527;01/03/2017;15:30:56;S;;;;;;;;"
"JZJ 077;01/03/2017;15:36:25;E;;;;;;;;"
"XBN 458;01/03/2017;15:36:34;S;;;;;;;;"
"ECQ 086;01/03/2017;15:42:17;E;;;;;;;;"
"KIB 578;01/03/2017;15:50:25;E;;;;;;;;"
"GTV 328;01/03/2017;15:54:22;S;;;;;;;;"
"WRK 529;01/03/2017;15:57:53;S;;;;;;;;"
"BUO 117;01/03/2017;16:07:39;E;;;;;;;;"
"LPP 651;01/03/2017;16:21:35;E;;;;;;;;"
"DOT 015;01/03/2017;16:37:52;E;;;;;;;;"
"IMT 353;01/03/2017;16:52:37;E;;;;;;;;"
"LPP 651;01/03/2017;17:04:50;S;;;;;;;;"
"DFY 221;01/03/2017;17:07:23;E;;;;;;;;"
"OSX 880;01/03/2017;17:07:38;E;;;;;;;;"
"PEI 123;01/03/2017;17:08:14;E;;;;;;;;"
"CTP 368;01/03/2017;17:11:48;E;;;;;;;;"
"QSH 773;01/03/2017;17:44:41;E;;;;;;;;"
"VRV 762;01/03/2017;18:23:03;S;;;;;;;;"
"UEQ 112;01/03/2017;18:35:35;E;;;;;;;;"
"YFS 188;01/03/2017;18:41:35;E;;;;;;;;"
"JPB 228;01/03/2017;18:52:22;S;;;;;;;;"
"CTP 368;01/03/2017;18:52:44;E;;;;;;;;"
"XTQ 388;01/03/2017;18:54:48;S;;;;;;;;"
"LTQ 448;01/03/2017;18:57:05;E;;;;;;;;"
"LUZ 537;01/03/2017;18:59:53;S;;;;;;;;"
"UXD 864;01/03/2017;19:00:33;E;;;;;;;;"
"EBO 588;01/03/2017;19:00:51;S;;;;;;;;"
"DFY 221;01/03/2017;19:15:23;S;;;;;;;;"
"LXG 956;01/03/2017;19:18:45;E;;;;;;;;"
"RYY 139;01/03/2017;19:22:40;E;;;;;;;;"
"FJO 863;01/03/2017;19:32:08;S;;;;;;;;"
"HQB 791;01/03/2017;19:33:40;E;;;;;;;;"
"BJB 653;01/03/2017;19:35:03;S;;;;;;;;"
"QLB 862;01/03/2017;19:36:40;E;;;;;;;;"
"TLW 192;01/03/2017;19:38:04;E;;;;;;;;"
"FPY 876;01/03/2017;19:38:45;S;;;;;;;;"
"GRN 861;01/03/2017;19:41:51;E;;;;;;;;"
"UNU 683;01/03/2017;19:50:53;E;;;;;;;;"
"CLX 359;01/03/2017;20:01:22;E;;;;;;;;"
"QHV 977;01/03/2017;20:02:16;E;;;;;;;;"
"CLX 359;01/03/2017;20:08:25;S;;;;;;;;"
"VJH 018;01/03/2017;20:15:25;E;;;;;;;;"
"YXJ 408;01/03/2017;20:16:33;S;;;;;;;;"
"WRK 529;01/03/2017;20:20:58;S;;;;;;;;"
"XRM 991;01/03/2017;20:21:25;S;;;;;;;;"
"YFS 188;01/03/2017;20:26:21;S;;;;;;;;"
"DBF 586;01/03/2017;20:35:23;S;;;;;;;;"
"RHM 529;01/03/2017;20:38:51;E;;;;;;;;"
"KFZ 247;01/03/2017;20:43:32;E;;;;;;;;"
"NPS 183;01/03/2017;21:05:37;E;;;;;;;;"
"TIA 999;01/03/2017;21:16:15;S;;;;;;;;"
"LBD 449;01/03/2017;21:17:56;E;;;;;;;;"
"NFQ 067;01/03/2017;21:22:48;E;;;;;;;;"
"TXR 557;01/03/2017;21:23:26;E;;;;;;;;"
"WFV 200;01/03/2017;21:27:52;E;;;;;;;;"
"IZP 943;01/03/2017;21:33:01;E;;;;;;;;"
"NVT 491;01/03/2017;21:40:43;E;;;;;;;;"
"CQR 814;01/03/2017;21:43:22;E;;;;;;;;"
"AIK 988;01/03/2017;21:52:24;S;;;;;;;;"
"BJB 653;01/03/2017;21:57:21;E;;;;;;;;"
"DER 930;01/03/2017;21:57:28;E;;;;;;;;"
"KQX 110;01/03/2017;21:57:32;S;;;;;;;;"
"FNN 773;01/03/2017;22:01:42;E;;;;;;;;"
"VVS 343;01/03/2017;22:03:00;S;;;;;;;;"
"GQI 739;01/03/2017;22:04:55;E;;;;;;;;"
"AUP 888;01/03/2017;22:09:59;E;;;;;;;;"
"XHJ 852;01/03/2017;22:10:00;E;;;;;;;;"
"BHS 776;01/03/2017;22:12:35;S;;;;;;;;"
"XET 934;01/03/2017;22:25:11;E;;;;;;;;"
"JEC 607;01/03/2017;22:31:24;E;;;;;;;;"
"BXP 393;01/03/2017;22:34:13;E;;;;;;;;"
"AQM 623;01/03/2017;22:49:17;S;;;;;;;;"
"QSM 149;01/03/2017;22:49:50;E;;;;;;;;"
"VZS 799;01/03/2017;22:53:33;E;;;;;;;;"
"RDC 501;01/03/2017;23:02:33;E;;;;;;;;"
"XPS 778;01/03/2017;23:04:18;E;;;;;;;;"
"EIS 237;01/03/2017;23:05:18;E;;;;;;;;"
"YNT 417;01/03/2017;23:18:48;E;;;;;;;;"
"TRG 840;01/03/2017;23:38:30;E;;;;;;;;"
"CFZ 028;01/03/2017;23:44:59;S;;;;;;;;"
"QJY 907;01/03/2017;23:46:04;E;;;;;;;;"
"CLP 618;01/03/2017;23:46:14;E;;;;;;;;"
"RRH 435;01/03/2017;23:54:15;E;;;;;;;;"
"WDY 531;01/03/2017;23:59:56;E;;;;;;;;"
"KIZ 561;01/04/2017;00:04:02;S;;;;;;;;"
"PUL 406;01/04/2017;00:05:19;S;;;;;;;;"
"AYL 829;01/04/2017;00:33:10;S;;;;;;;;"
"LUZ 537;01/04/2017;00:33:37;S;;;;;;;;"
"WND 037;01/04/2017;00:53:54;S;;;;;;;;"
"BMP 843;01/04/2017;01:11:35;S;;;;;;;;"
"UIF 284;01/04/2017;01:14:32;S;;;;;;;;"
"JWA 670;01/04/2017;01:17:21;S;;;;;;;;"
"RCO 815;01/04/2017;01:18:48;S;;;;;;;;"
"WXG 638;01/04/2017;01:26:28;S;;;;;;;;"
"PGE 059;01/04/2017;01:28:19;S;;;;;;;;"
"HXZ 344;01/04/2017;01:29:00;S;;;;;;;;"
"DFE 069;01/04/2017;01:44:30;S;;;;;;;;"
"YTW 247;01/04/2017;01:45:17;S;;;;;;;;"
"ZVK 478;01/04/2017;01:48:11;S;;;;;;;;"
"ZVK 478;01/04/2017;01:58:13;S;;;;;;;;"
"LYB 420;01/04/2017;02:20:25;S;;;;;;;;"
"FOX 859;01/04/2017;02:21:54;S;;;;;;;;"
"WBV 417;01/04/2017;02:29:20;S;;;;;;;;"
"UAJ 260;01/04/2017;02:50:14;S;;;;;;;;"
"YKT 457;01/04/2017;02:50:18;S;;;;;;;;"
"AYO 452;01/04/2017;02:50:35;S;;;;;;;;"
"HTZ 756;01/04/2017;03:06:13;S;;;;;;;;"
"PMH 796;01/04/2017;03:31:31;S;;;;;;;;"
"UXD 864;01/04/2017;03:35:27;S;;;;;;;;"
"EWO 133;01/04/2017;03:37:04;S;;;;;;;;"
"OJD 168;01/04/2017;03:39:13;S;;;;;;;;"
"RYY 139;01/04/2017;03:39:43;S;;;;;;;;"
"ZSC 051;01/04/2017;03:44:54;S;;;;;;;;"
"JRB 174;01/04/2017;04:01:12;S;;;;;;;;"
"LKZ 123;01/04/2017;04:04:05;S;;;;;;;;"
"QFC 454;01/04/2017;04:25:34;S;;;;;;;;"
"TRT 351;01/04/2017;04:25:57;S;;;;;;;;"
"VKM 893;01/04/2017;04:36:51;S;;;;;;;;"
"PRP 468;01/04/2017;04:49:58;S;;;;;;;;"
"XEP 351;01/04/2017;05:10:58;S;;;;;;;;"
"KOS 747;01/04/2017;05:34:37;S;;;;;;;;"
"URL 234;01/04/2017;05:36:21;S;;;;;;;;"
"JXO 935;01/04/2017;05:37:05;S;;;;;;;;"
"NZG 521;01/04/2017;05:39:47;S;;;;;;;;"
"CLM 339;01/04/2017;05:53:49;S;;;;;;;;"
"MHV 871;01/04/2017;05:56:56;S;;;;;;;;"
"IFP 939;01/04/2017;06:05:38;S;;;;;;;;"
"JKY 704;01/04/2017;06:14:57;S;;;;;;;;"
"HTZ 756;01/04/2017;06:32:19;S;;;;;;;;"
"URO 057;01/04/2017;06:37:32;S;;;;;;;;"
"YLP 911;01/04/2017;06:39:58;S;;;;;;;;"
"SNP 744;01/04/2017;06:47:55;S;;;;;;;;"
"ERX 655;01/04/2017;06:49:23;S;;;;;;;;"
"YME 608;01/04/2017;06:51:08;S;;;;;;;;"
"KHK 216;01/04/2017;07:06:18;S;;;;;;;;"
"QQK 436;01/04/2017;07:41:15;S;;;;;;;;"
"SCB 435;01/04/2017;07:49:35;S;;;;;;;;"
"MJI 648;01/04/2017;07:51:00;S;;;;;;;;"
"EOC 495;01/04/2017;08:00:48;S;;;;;;;;"
"HBN 731;01/04/2017;08:06:13;S;;;;;;;;"
"MAE 308;01/04/2017;08:06:15;S;;;;;;;;"
"WUG 433;01/04/2017;08:20:33;S;;;;;;;;"
"AUM 938;01/04/2017;08:36:45;S;;;;;;;;"
"SHO 225;01/04/2017;08:41:59;S;;;;;;;;"
"YOE 482;01/04/2017;08:44:50;S;;;;;;;;"
"AIN 156;01/04/2017;08:58:04;S;;;;;;;;"
"YLG 158;01/04/2017;08:58:48;S;;;;;;;;"
"SUL 765;01/04/2017;09:03:13;S;;;;;;;;"
"QSM 149;01/04/2017;09:09:28;S;;;;;;;;"
"YTW 247;01/04/2017;09:11:05;S;;;;;;;;"
"JGM 861;01/04/2017;09:42:20;S;;;;;;;;"
"YSI 198;01/04/2017;09:44:18;S;;;;;;;;"
"JTP 593;01/04/2017;09:45:41;S;;;;;;;;"
"OZL 047;01/04/2017;09:48:10;S;;;;;;;;"
"FBP 333;01/04/2017;10:18:38;S;;;;;;;;"
"LXG 956;01/04/2017;10:40:57;S;;;;;;;;"
"IHK 954;01/04/2017;10:43:19;S;;;;;;;;"
"YJQ 682;01/04/2017;11:04:30;S;;;;;;;;"
"KAT 857;01/04/2017;11:20:00;S;;;;;;;;"
"TIA 999;01/04/2017;11:22:34;S;;;;;;;;"
"XDR 318;01/04/2017;11:24:13;S;;;;;;;;"
"AGU 591;01/04/2017;12:24:48;S;;;;;;;;"
"MVI 001;01/04/2017;12:42:55;S;;;;;;;;"
"IHK 954;01/04/2017;12:47:37;S;;;;;;;;"
"FPN 837;01/04/2017;12:56:09;S;;;;;;;;"
"ZVH 556;01/04/2017;12:57:19;S;;;;;;;;"
"UCJ 932;01/04/2017;13:10:17;S;;;;;;;;"
"NIV 227;01/04/2017;13:15:09;S;;;;;;;;"
"EGK 452;01/04/2017;13:26:37;S;;;;;;;;"
"IXN 833;01/04/2017;13:30:14;S;;;;;;;;"
"MZY 077;01/04/2017;13:33:42;S;;;;;;;;"
"GSX 351;01/04/2017;15:08:12;S;;;;;;;;"
"VHN 438;01/04/2017;15:43:26;S;;;;;;;;"
"LIM 340;01/04/2017;16:16:38;S;;;;;;;;"
"RWJ 181;01/04/2017;16:17:19;S;;;;;;;;"
"GQI 739;01/04/2017;16:26:58;S;;;;;;;;"
"KVK 097;01/04/2017;16:33:41;S;;;;;;;;"
"KIB 578;01/04/2017;16:44:09;S;;;;;;;;"
"QMO 825;01/04/2017;16:44:35;S;;;;;;;;"
"GES 145;01/04/2017;16:45:39;S;;;;;;;;"
"PGE 059;01/04/2017;16:46:35;S;;;;;;;;"
"DHY 286;01/04/2017;17:02:36;S;;;;;;;;"
"SFL 664;01/04/2017;17:14:12;S;;;;;;;;"
"GVM 536;01/04/2017;17:14:27;S;;;;;;;;"
"UEQ 112;01/04/2017;17:22:15;S;;;;;;;;"
"SCB 435;01/04/2017;17:49:05;S;;;;;;;;"
"SZH 466;01/04/2017;18:12:01;S;;;;;;;;"
"DRG 856;01/04/2017;18:54:17;S;;;;;;;;"
"QJY 907;01/04/2017;19:23:13;S;;;;;;;;"
"ACB 078;01/04/2017;20:23:14;S;;;;;;;;"
"SUH 465;01/04/2017;20:44:57;S;;;;;;;;"
"AZX 325;01/04/2017;21:18:56;S;;;;;;;;"
"SBO 355;01/04/2017;21:23:23;S;;;;;;;;"
"ZZG 027;01/04/2017;21:33:59;S;;;;;;;;"
"ASY 616;01/04/2017;21:41:04;S;;;;;;;;"
"PEO 382;01/04/2017;22:21:31;S;;;;;;;;"
"SUH 465;01/04/2017;22:36:30;S;;;;;;;;"
"JFD 449;01/04/2017;22:41:46;S;;;;;;;;"
"JTP 593;01/04/2017;23:16:19;S;;;;;;;;"
"YSN 106;01/04/2017;23:25:25;S;;;;;;;;"
"BGM 086;02/03/2017;00:01:02;S;;;;;;;;"
"DQG 620;02/03/2017;00:04:24;S;;;;;;;;"
"OQA 123;02/03/2017;00:09:14;S;;;;;;;;"
"UXD 864;02/03/2017;00:19:46;S;;;;;;;;"
"FOV 342;02/03/2017;00:25:32;E;;;;;;;;"
"IMT 353;02/03/2017;00:29:24;S;;;;;;;;"
"FWH 785;02/03/2017;00:32:13;E;;;;;;;;"
"TKG 428;02/03/2017;00:47:56;S;;;;;;;;"
"FOX 859;02/03/2017;00:58:41;E;;;;;;;;"
"WTY 194;02/03/2017;01:04:22;E;;;;;;;;"
"TIG 006;02/03/2017;01:04:53;E;;;;;;;;"
"XTQ 388;02/03/2017;01:18:30;S;;;;;;;;"
"HQB 791;02/03/2017;01:20:34;S;;;;;;;;"
"EIS 237;02/03/2017;01:22:20;S;;;;;;;;"
"HGZ 635;02/03/2017;01:41:02;E;;;;;;;;"
"PUZ 641;02/03/2017;01:43:00;E;;;;;;;;"
"CTN 235;02/03/2017;01:48:45;S;;;;;;;;"
"XET 834;02/03/2017;01:57:06;E;;;;;;;;"
"KXD 314;02/03/2017;02:02:25;E;;;;;;;;"
"TMG 695;02/03/2017;02:05:34;E;;;;;;;;"
"PEI 123;02/03/2017;02:13:38;S;;;;;;;;"
"MHV 871;02/03/2017;02:21:29;E;;;;;;;;"
"DIH 817;02/03/2017;02:23:00;S;;;;;;;;"
"JLY 830;02/03/2017;02:25:38;E;;;;;;;;"
"RRH 435;02/03/2017;02:31:22;S;;;;;;;;"
"LYB 956;02/03/2017;02:36:04;E;;;;;;;;"
"WFT 629;02/03/2017;02:37:29;E;;;;;;;;"
"ZVK 478;02/03/2017;02:48:29;E;;;;;;;;"
"YAP 058;02/03/2017;02:52:29;E;;;;;;;;"
"HPZ 463;02/03/2017;02:53:41;E;;;;;;;;"
"WQX 123;02/03/2017;02:55:54;E;;;;;;;;"
"JOY 791;02/03/2017;03:03:51;S;;;;;;;;"
"MCR 691;02/03/2017;03:10:00;E;;;;;;;;"
"TOJ 723;02/03/2017;03:10:38;S;;;;;;;;"
"FOZ 285;02/03/2017;03:11:59;E;;;;;;;;"
"VEV 529;02/03/2017;03:15:37;E;;;;;;;;"
"DTE 315;02/03/2017;03:34:06;E;;;;;;;;"
"VJH 018;02/03/2017;03:45:47;S;;;;;;;;"
"EFN 564;02/03/2017;03:52:03;E;;;;;;;;"
"CLM 339;02/03/2017;03:54:31;E;;;;;;;;"
"EIT 281;02/03/2017;04:01:15;E;;;;;;;;"
"LXG 956;02/03/2017;04:05:32;S;;;;;;;;"
"YTW 247;02/03/2017;04:07:01;S;;;;;;;;"
"FCG 266;02/03/2017;04:18:24;E;;;;;;;;"
"EWR 741;02/03/2017;04:23:12;E;;;;;;;;"
"VEV 529;02/03/2017;04:31:45;S;;;;;;;;"
"TLW 192;02/03/2017;04:44:41;S;;;;;;;;"
"CFZ 028;02/03/2017;04:45:03;E;;;;;;;;"
"XGZ 068;02/03/2017;04:56:46;E;;;;;;;;"
"ZHW 957;02/03/2017;05:00:25;E;;;;;;;;"
"EOC 495;02/03/2017;05:01:21;E;;;;;;;;"
"CRZ 024;02/03/2017;05:40:04;E;;;;;;;;"
"FOZ 285;02/03/2017;05:49:49;S;;;;;;;;"
"IEJ 042;02/03/2017;05:53:10;S;;;;;;;;"
"SUH 465;02/03/2017;05:53:42;E;;;;;;;;"
"WQN 289;02/03/2017;05:55:24;E;;;;;;;;"
"CLM 339;02/03/2017;06:05:47;S;;;;;;;;"
"SUH 465;02/03/2017;06:14:06;E;;;;;;;;"
"EIT 281;02/03/2017;06:19:10;S;;;;;;;;"
"XNU 344;02/03/2017;06:24:30;E;;;;;;;;"
"JEC 607;02/03/2017;06:29:10;S;;;;;;;;"
"VBW 646;02/03/2017;06:33:05;S;;;;;;;;"
"ANW 825;02/03/2017;06:33:42;E;;;;;;;;"
"YST 012;02/03/2017;06:50:59;E;;;;;;;;"
"UJD 843;02/03/2017;07:06:58;E;;;;;;;;"
"LPP 651;02/03/2017;07:07:12;S;;;;;;;;"
"JZJ 077;02/03/2017;07:08:19;S;;;;;;;;"
"CQR 814;02/03/2017;07:09:07;S;;;;;;;;"
"PJH 453;02/03/2017;07:20:22;E;;;;;;;;"
"ANW 825;02/03/2017;07:21:01;E;;;;;;;;"
"EIU 411;02/03/2017;07:36:23;S;;;;;;;;"
"QSM 149;02/03/2017;07:40:10;S;;;;;;;;"
"QTV 193;02/03/2017;07:49:34;E;;;;;;;;"
"MFH 339;02/03/2017;07:58:17;E;;;;;;;;"
"PXG 238;02/03/2017;08:13:32;S;;;;;;;;"
"VHN 438;02/03/2017;08:30:34;E;;;;;;;;"
"IGM 969;02/03/2017;08:34:42;E;;;;;;;;"
"WQX 123;02/03/2017;08:37:11;S;;;;;;;;"
"UEQ 112;02/03/2017;08:47:00;S;;;;;;;;"
"JLY 830;02/03/2017;08:50:37;S;;;;;;;;"
"QHV 977;02/03/2017;08:54:13;S;;;;;;;;"
"ECQ 086;02/03/2017;08:55:35;S;;;;;;;;"
"MGP 737;02/03/2017;08:56:33;S;;;;;;;;"
"EOC 495;02/03/2017;09:04:53;S;;;;;;;;"
"KUY 833;02/03/2017;09:12:57;E;;;;;;;;"
"ANW 825;02/03/2017;09:14:30;S;;;;;;;;"
"YAP 058;02/03/2017;09:18:55;S;;;;;;;;"
"LTQ 448;02/03/2017;09:22:04;S;;;;;;;;"
"EOC 495;02/03/2017;09:29:04;S;;;;;;;;"
"MCR 691;02/03/2017;09:29:15;S;;;;;;;;"
"RIZ 330;02/03/2017;09:35:12;E;;;;;;;;"
"FUA 549;02/03/2017;09:35:24;S;;;;;;;;"
"CRZ 024;02/03/2017;09:35:30;S;;;;;;;;"
"MFH 339;02/03/2017;09:55:41;S;;;;;;;;"
"NIV 227;02/03/2017;09:56:28;S;;;;;;;;"
"FOV 342;02/03/2017;09:58:57;S;;;;;;;;"
"YKT 457;02/03/2017;10:04:59;E;;;;;;;;"
"IZY 219;02/03/2017;10:12:21;E;;;;;;;;"
"LTQ 448;02/03/2017;10:35:19;E;;;;;;;;"
"YLG 158;02/03/2017;10:38:48;S;;;;;;;;"
"ONT 236;02/03/2017;10:52:12;E;;;;;;;;"
"HXP 178;02/03/2017;10:52:49;E;;;;;;;;"
"WSG 589;02/03/2017;10:53:16;E;;;;;;;;"
"FCG 266;02/03/2017;10:54:23;S;;;;;;;;"
"RDC 501;02/03/2017;10:59:14;S;;;;;;;;"
"ZYA 391;02/03/2017;11:03:40;E;;;;;;;;"
"IUC 831;02/03/2017;11:09:26;E;;;;;;;;"
"VZS 799;02/03/2017;11:09:50;S;;;;;;;;"
"PIY 725;02/03/2017;11:10:46;S;;;;;;;;"
"TOD 854;02/03/2017;11:16:02;E;;;;;;;;"
"OTO 440;02/03/2017;11:17:22;E;;;;;;;;"
"NBH 113;02/03/2017;11:18:41;E;;;;;;;;"
"FCG 266;02/03/2017;11:19:32;E;;;;;;;;"
"KNQ 523;02/03/2017;11:30:37;E;;;;;;;;"
"VZK 579;02/03/2017;11:48:14;E;;;;;;;;"
"IMT 959;02/03/2017;11:55:59;E;;;;;;;;"
"NXS 513;02/03/2017;12:00:08;S;;;;;;;;"
"AUP 888;02/03/2017;12:01:31;S;;;;;;;;"
"XTQ 388;02/03/2017;12:10:49;E;;;;;;;;"
"PQB 432;02/03/2017;12:20:47;E;;;;;;;;"
"REC 741;02/03/2017;12:25:26;E;;;;;;;;"
"OQA 123;02/03/2017;12:31:22;S;;;;;;;;"
"EIU 411;02/03/2017;12:42:47;E;;;;;;;;"
"SVU 636;02/03/2017;12:44:29;E;;;;;;;;"
"TWN 005;02/03/2017;12:45:18;S;;;;;;;;"
"JLK 895;02/03/2017;12:55:17;E;;;;;;;;"
"HBP 527;02/03/2017;13:00:17;E;;;;;;;;"
"KKR 544;02/03/2017;13:01:16;E;;;;;;;;"
"EII 198;02/03/2017;13:16:28;E;;;;;;;;"
"RHM 529;02/03/2017;13:21:39;E;;;;;;;;"
"LBD 449;02/03/2017;13:27:20;E;;;;;;;;"
"UNU 683;02/03/2017;13:40:03;S;;;;;;;;"
"KUY 833;02/03/2017;13:46:27;S;;;;;;;;"
"YKT 457;02/03/2017;13:54:50;S;;;;;;;;"
"PJH 453;02/03/2017;13:55:53;E;;;;;;;;"
"EGO 382;02/03/2017;13:57:20;E;;;;;;;;"
"GES 145;02/03/2017;14:11:09;E;;;;;;;;"
"PUL 406;02/03/2017;14:29:29;E;;;;;;;;"
"OSX 880;02/03/2017;14:32:26;S;;;;;;;;"
"QJY 907;02/03/2017;14:34:46;S;;;;;;;;"
"MAE 308;02/03/2017;14:36:33;E;;;;;;;;"
"WFV 200;02/03/2017;14:38:42;S;;;;;;;;"
"GBK 494;02/03/2017;14:39:03;E;;;;;;;;"
"FMX 189;02/03/2017;14:44:57;E;;;;;;;;"
"RXT 080;02/03/2017;14:52:37;E;;;;;;;;"
"OKX 921;02/03/2017;14:52:44;E;;;;;;;;"
"XLS 890;02/03/2017;15:06:49;E;;;;;;;;"
"VUC 955;02/03/2017;15:16:14;S;;;;;;;;"
