PEER NGA STRONG MOTION DATABASE RECORD
LaMalbaie97-08-20, 08/20/1997, LMN, BHE
ACCELERATION TIME HISTORY IN UNITS OF G
NPTS=  12133, DT=   0.025 SEC
 -2.3736449E-09  5.7883777E-08 -1.1063485E-08  5.1572734E-09  5.3819624E-08
  2.2995964E-08 -1.5874659E-08  3.9246611E-08  3.4633741E-08  3.0641924E-10
  1.5880530E-08  1.6977866E-08  3.9634127E-08  7.6798470E-09  2.7633831E-09
  4.6795177E-08  2.7757075E-08 -1.5293390E-08  2.5683036E-08  4.3138491E-08
 -2.6614114E-08  1.0769682E-08  3.3306210E-08 -2.8657317E-09 -4.3392547E-09
  4.6219620E-08  1.5964413E-08 -2.5868383E-08  5.7009496E-08  2.1778083E-08
 -1.8241415E-08 -9.1504985E-09  2.1977343E-08  1.0310410E-08 -2.0209644E-08
  2.0339187E-08  5.3250641E-09 -1.6967823E-08 -9.2968337E-09  3.6235742E-09
 -7.8989829E-09 -1.9377062E-08 -1.4685467E-08 -2.7181244E-08 -2.7546298E-08
 -3.0367097E-08 -3.2556687E-08 -4.9232620E-08 -2.2045853E-08  1.9438825E-08
 -7.8812901E-08 -5.0680711E-08  1.6172396E-08 -4.9258000E-08 -7.8175887E-08
  1.0619270E-08 -2.1050755E-08 -9.0079678E-08  1.0006904E-08 -4.7788093E-08
 -8.5812615E-08  4.3576478E-09 -2.7211395E-08 -1.2067514E-07  1.7911012E-08
  8.3397022E-09 -1.1376373E-07 -1.4205024E-08  1.2423295E-08 -6.5037987E-08
 -5.9772602E-08  2.1815866E-08 -9.0109509E-08 -3.8539295E-08  3.9546379E-08
 -6.5189590E-08 -4.9010403E-08  4.8236927E-09 -9.0123168E-09 -5.1193333E-08
  9.8363059E-09 -7.8781069E-10 -5.4251124E-08 -1.5302288E-08  2.0465629E-08
 -1.2878799E-08 -2.9318749E-08 -1.3237447E-08  2.3317552E-08  1.8632937E-08
 -3.8310073E-08  7.9085425E-09  5.2749532E-08  2.0655091E-08 -1.4507136E-08
  1.2414704E-08  2.3831526E-08  1.4016086E-08  3.1273626E-09 -2.2210554E-08
  2.5557893E-08  4.7007157E-08  2.4774666E-09 -4.8700903E-09  4.9092916E-08
  4.2115404E-08 -6.4385962E-09  4.0845084E-08  7.0661668E-08 -7.4774186E-10
  1.7891315E-08  5.9750871E-08  3.3277478E-08  4.2441107E-08  4.2467072E-08
  4.8739675E-08  4.4040710E-08  2.9990471E-08  6.5571240E-08  6.1631447E-08
  1.9550105E-08  5.8923499E-08  5.7486632E-08  3.0455873E-08  5.4250095E-08
  4.5423993E-08  5.7196697E-09  4.7289133E-08  8.8414996E-08  2.7984175E-08
  2.8678101E-08  8.1432294E-08  4.3095413E-08  2.3279925E-08  6.3898762E-08
  3.3736744E-08  2.4211637E-08  5.7194566E-08  2.9846303E-08  2.7450936E-08
  4.0320250E-08  1.6643222E-08  3.8345623E-08  2.1389398E-08 -6.2235534E-10
  4.7522420E-08  2.6102407E-08 -7.3250133E-09  6.1196957E-09  8.9944033E-09
  1.0199801E-08 -1.3060860E-08  3.5357164E-09 -1.7517243E-08 -3.1813578E-08
  3.8745636E-09 -3.2571052E-08 -3.0599472E-08 -4.0554075E-08 -2.9271726E-08
 -4.2305905E-08 -8.3870675E-09 -4.2127460E-08 -5.5577665E-08 -2.3614876E-08
 -3.6810097E-08 -5.5496542E-08 -6.0839772E-08  6.5280538E-09 -7.2329726E-08
 -4.2079762E-08 -2.8446356E-08 -3.2317764E-08 -4.2563830E-08 -1.6353092E-08
 -3.5155614E-08 -3.8329848E-08 -1.3096409E-09 -6.5176991E-08 -9.2989244E-09
 -8.2760257E-09 -1.5578274E-08 -6.6519951E-08  2.4371639E-08  1.3376413E-08
 -5.3093513E-08 -2.0449566E-08 -2.1763326E-08  1.1513872E-08 -4.2407684E-08
 -2.7889288E-08 -4.8744755E-09 -6.0983827E-09 -5.3613651E-08 -4.7264648E-09
 -3.7487833E-09 -4.0742217E-08 -2.0751066E-08 -6.1269009E-08  1.8726014E-08
 -4.3131067E-08 -5.1541981E-08 -2.9956504E-09 -2.6662102E-08 -2.2117017E-08
 -4.1056627E-08 -1.9659782E-08 -1.2672278E-08 -2.2019732E-08 -4.6023782E-08
 -1.3325562E-08 -9.3417082E-10 -3.9033291E-08 -5.1231042E-08  3.0058479E-08
 -2.3676548E-08 -6.5137989E-08 -1.6501632E-08  1.4220989E-08  9.6564725E-09
 -8.8776364E-08  1.4126394E-08  3.1796014E-08 -4.3149510E-08 -2.0342013E-08
  1.7000888E-08  1.7082492E-08 -1.7957252E-08 -1.8178088E-09  3.1953306E-08
  1.4993588E-09 -5.4505417E-09  4.4478084E-08  1.5537034E-08  2.9873808E-08
  2.6914336E-08  1.4832408E-08  5.5026414E-08  3.5950540E-08 -2.0237999E-10
  5.9607479E-08  6.2002338E-08 -3.6339974E-09  1.2514810E-08  1.0970106E-07
  5.7271227E-08  2.6167488E-10  9.1490309E-08  5.8769024E-08  5.4294630E-08
  4.0872019E-08  4.6774116E-08  5.3189943E-08  7.8253118E-08  2.2922234E-08
  4.2856120E-08  1.0698799E-07  4.0706759E-09  5.7669899E-08  5.8922486E-08
  1.4899758E-09  5.5361472E-08  6.7748657E-08  4.1887583E-09  6.9731207E-08
  2.8700182E-08  5.6106688E-09  5.6764626E-08  2.0587774E-08 -2.8688317E-08
  3.8079717E-08  6.5451155E-08 -6.3858732E-08  4.1452126E-08  4.7971795E-08
 -5.0683711E-08  1.0798918E-09  4.0101841E-08 -4.1862042E-08 -3.9132246E-09
  1.8033672E-09 -5.9605828E-08  1.3784076E-08 -2.0870354E-08 -4.6797515E-08
 -9.7956800E-09 -1.9136385E-08 -6.0956011E-08 -1.0586894E-08 -2.8260387E-08
 -5.3785931E-08 -3.1069429E-08 -3.9994403E-08  1.4672232E-10 -5.3168720E-08
 -5.7536303E-08 -4.0781007E-09 -5.0397930E-08 -7.5595546E-08 -2.2204192E-08
 -4.0389511E-08 -5.2329278E-08 -4.2842060E-08 -5.8724509E-08 -3.7037498E-08
 -1.0993665E-08 -3.9817486E-08 -3.0889757E-08 -2.3410891E-08 -2.0225344E-08
 -1.5378858E-08 -7.1695442E-08 -2.0328565E-09  1.2512056E-08 -6.0967867E-08
 -1.5302955E-08 -1.4442567E-08 -2.9184023E-08  6.7060371E-09 -6.7421689E-08
  6.2710700E-09  3.1054696E-08 -7.7692326E-08  3.1709490E-08 -4.5529751E-08
  1.4295472E-08  8.2412979E-09 -8.1336875E-08  1.4581549E-08  1.9634373E-08
 -4.3950418E-08 -7.2162995E-09  2.1150641E-08 -6.0000574E-08  4.3152469E-08
 -4.8943100E-08  1.0259957E-09 -3.8088672E-09  2.4203877E-08 -2.0198027E-08
 -6.9391653E-08  6.9068832E-08 -1.6877046E-08 -2.2868664E-08 -1.1691654E-08
  5.1682761E-08 -2.5845705E-08  1.6094350E-08 -8.4040620E-09  5.7798873E-08
  1.7319342E-08 -6.1925559E-08  5.5311267E-08  2.5920181E-08 -1.7369936E-08
  2.3184027E-08  5.8720932E-08 -5.0259524E-08  1.0559387E-07 -1.0452657E-08
 -4.6598108E-08  1.2572246E-07 -1.9671469E-08 -5.1189145E-08  9.8772312E-08
 -1.6984615E-10 -4.3749236E-08  8.6475661E-08 -4.7906452E-09 -1.4043020E-08
  9.5366752E-08  2.3982398E-08 -4.5225299E-08  8.3082346E-08  6.0554029E-08
 -4.4045632E-08  4.1668765E-08  6.7903388E-08 -2.4948737E-08  4.2570455E-08
  4.8491858E-08  6.5205805E-09  2.5386213E-08  7.5331273E-08  2.0969631E-09
  1.2713821E-08  9.1960430E-08 -2.8047401E-08  2.3023446E-08  8.3941103E-08
 -1.6706253E-08 -5.3944270E-09  6.3575518E-08 -3.3324486E-09  3.6911420E-08
 -2.2203081E-08 -1.0429563E-08  7.2172942E-08  2.4999989E-09 -2.7249464E-08
  2.8005407E-08  4.7291930E-08 -4.9767063E-08 -2.1689735E-09  3.1691957E-09
  2.8175024E-09  2.2170422E-09 -4.5559697E-09 -6.2940737E-09  2.2662174E-08
  9.3493573E-09  2.3538293E-09  4.7927842E-09 -2.2976145E-08  3.4034971E-08
  2.3531441E-09 -1.7252879E-08 -1.0790778E-08  5.9332635E-08  7.9544971E-10
 -2.8012179E-08  3.3035997E-08  2.3629853E-08 -7.1662570E-09  2.3685578E-09
  3.0903752E-08  6.0741851E-09  7.4932412E-09 -2.7120069E-08  5.2823571E-08
 -2.1209204E-08  3.7871723E-10  1.8965932E-08 -3.8871483E-08  5.8883968E-08
 -2.0244280E-08  7.3526804E-09 -4.6084789E-08  2.0824413E-08  7.6227484E-08
 -1.2547868E-07  3.2457219E-08  8.1533092E-08 -7.8442693E-08 -5.4377828E-08
  3.5291164E-08  2.9608814E-09 -8.3277438E-08 -4.3125995E-09  7.9934238E-09
 -5.7385002E-08 -5.7217189E-08  3.2907498E-08 -4.4944291E-08 -1.2512807E-07
  3.9507314E-08 -2.0279833E-08 -1.1286617E-07 -2.9725196E-08  3.5862638E-08
 -5.5988466E-08 -1.2052953E-07  3.8673126E-09 -1.2089933E-08 -6.6280972E-08
 -9.1423466E-08 -4.0254930E-08  5.4282791E-10 -1.1788357E-07 -2.7992474E-08
 -2.2916356E-08 -8.7543229E-08 -2.0325530E-08 -4.0117493E-08 -4.1886021E-08
 -8.9550476E-08 -5.4622087E-08  3.8190141E-09 -5.5857768E-08 -8.0086452E-08
 -2.9076560E-08 -4.3353152E-08 -2.5968512E-08 -1.3817494E-08 -7.1115987E-08
  2.0550222E-08 -3.6871042E-08 -2.4408040E-08 -2.9770721E-08 -3.6799905E-08
  3.1135171E-08 -4.0659870E-08 -2.3896732E-08 -4.1117699E-09  4.7707512E-08
 -3.8067270E-08 -1.2144364E-09  4.3094928E-08 -2.1070190E-08  2.6416885E-08
 -1.2980486E-08  3.8740240E-08 -2.7345423E-09 -8.0344637E-09  7.3060506E-08
 -2.3679969E-08  3.0490012E-08  4.8083020E-08  3.5297140E-09  4.2345845E-08
 -5.0817692E-09  4.4664550E-08  1.1539861E-08 -1.4335376E-08  6.0650895E-08
  3.7692330E-08 -5.7847152E-09  1.5434476E-08  8.8336870E-08 -2.7057067E-08
  2.5653673E-08  8.2646878E-08  2.0917347E-10  5.4836114E-08  2.6516199E-08
  5.9333677E-08  3.7172105E-08  2.5091541E-08  4.3661512E-08  4.0971454E-08
  8.7388439E-08  1.9424154E-08  4.8569256E-08  6.2251805E-08  4.9069205E-08
  9.2339034E-08 -4.3809355E-09  7.0834825E-08  1.1980746E-07 -8.9541577E-09
  5.0209274E-08  8.4126033E-08  3.9093854E-08  8.9950329E-09  8.1408122E-08
  4.8493591E-08 -8.0109842E-09  7.1388724E-08  6.3088041E-08  4.0656179E-09
  3.2151097E-08  8.8953489E-08 -3.1565333E-08  5.5564965E-08  5.2193454E-08
 -2.6422183E-08  7.2954819E-08  1.2212796E-08  2.9071562E-08 -4.6683574E-09
  4.3932728E-08  1.7977975E-08 -3.0781458E-08  8.3025830E-08 -4.7970532E-08
  1.7285252E-08  5.1966695E-08 -4.0391999E-08  1.6919818E-08 -1.8382589E-08
  1.8407685E-08 -2.7485205E-09 -3.2713172E-09  4.1939212E-09 -2.6518622E-08
  6.8604111E-08 -3.7562746E-08 -3.9827976E-08  5.5138049E-08 -5.1029742E-08
 -2.9637072E-08  1.0893383E-08 -3.3544243E-09 -4.6047180E-08 -1.2347005E-08
  2.0147892E-08 -5.0509295E-08 -4.0300465E-08 -2.0135876E-08 -1.8816853E-08
 -2.6429588E-08 -6.0385316E-08 -3.5557375E-08  4.9015594E-09 -4.7950990E-08
 -5.9605546E-08 -3.4056298E-08 -1.4955213E-08 -3.0309179E-08 -4.9403909E-08
 -4.4725673E-08 -1.7472193E-09 -3.2919844E-08 -3.8601025E-08 -1.2016707E-08
 -4.3522174E-08  4.3445811E-09 -3.9348531E-08 -5.0586349E-08  6.0726403E-09
 -3.6685525E-08 -2.7385489E-08  1.1126669E-08 -7.4134755E-08  2.3940664E-08
 -3.2855376E-08 -7.4564508E-08  4.5055608E-08 -8.9120718E-08  1.5264832E-08
 -3.5369835E-08 -1.9747915E-08  1.0574554E-08 -9.1727512E-08  3.0481093E-08
 -1.4892874E-08 -7.3422413E-08 -2.4388883E-08 -4.5781950E-09 -3.2874577E-08
 -1.9926878E-08 -7.1101518E-08  1.8206160E-08 -3.8092936E-09 -7.9120952E-08
  1.1676624E-08 -4.9460936E-08 -3.1970426E-08 -3.9840614E-08 -3.1005775E-08
 -2.9723444E-08 -4.7403797E-08 -4.3803635E-08 -2.8510878E-08 -3.4258138E-08
 -6.0737700E-08 -6.4337636E-09 -1.7393621E-08 -4.5516917E-08 -4.9343938E-08
  2.9561307E-09 -1.7865304E-08 -5.0211757E-08 -3.1540433E-08 -4.4700587E-08
  2.2647814E-08 -7.5850513E-09 -7.4326396E-08  9.8406103E-09  3.1380035E-08
 -3.2779678E-08  2.9370707E-09  1.7737949E-08 -1.3356000E-09  1.9979428E-08
 -9.9244463E-09  1.9126193E-08  2.8358557E-08 -1.3407610E-08  2.7783901E-09
  8.1833593E-08  7.8881253E-09 -5.1329162E-08  8.6292561E-08  4.4253500E-08
 -1.6962315E-08  1.0237905E-08  2.4119817E-08  7.1240551E-08 -8.2097107E-09
 -3.3514454E-08  7.9019048E-08  4.1597702E-08  5.8904492E-09 -2.3553866E-09
  7.4142450E-08  7.5486457E-08 -9.3813078E-09  2.9143692E-08  5.5643006E-08
  7.4873006E-08 -2.7013606E-08  4.3948562E-08  9.3485778E-08  2.5830274E-08
  3.0751917E-08  3.3201204E-08  8.9923617E-08  2.0324925E-08  2.6253728E-08
  5.1768597E-08  7.9109843E-08  3.7774855E-08 -2.5929604E-08  9.5058726E-08
  6.2278881E-08  7.5563620E-09  3.5871479E-08  6.5599669E-08  6.9194667E-08
  4.6127426E-08  7.4097113E-09  4.3990446E-08  7.6516748E-08 -1.4064665E-10
  4.3844053E-08  5.2378230E-08  4.6505146E-08  9.2404703E-09  1.6111787E-08
  7.3363326E-08 -2.5211610E-08  2.0435805E-08  4.8603808E-08 -6.0311423E-09
  6.7994186E-09 -8.4999679E-09  2.2295694E-08 -3.8190724E-09 -3.1600068E-08
 -4.5174938E-09  1.3724399E-08  3.5110664E-09 -3.5004257E-08 -1.6286635E-08
  2.3705027E-08  1.7573113E-09 -3.6023292E-08  2.7019784E-09  7.8596099E-09
 -2.2030536E-08 -1.3154143E-08  9.6171293E-09 -1.2905859E-08 -1.8485706E-08
 -6.0651689E-11  1.7007180E-08 -5.5659993E-09 -8.0713670E-09 -4.4064359E-11
 -4.0834365E-09  6.8259634E-09 -1.9047425E-08 -1.5895527E-08 -4.2214396E-08
  2.0394106E-08  5.2569848E-09 -6.0778530E-08 -1.7680216E-08  4.1518199E-09
 -1.7050009E-08 -2.5709904E-08 -2.9867064E-08 -6.8058897E-08  2.2708250E-08
 -1.6065863E-08 -9.0090316E-08 -4.1651398E-08 -1.5412444E-08 -1.7268726E-08
 -3.7493472E-08 -5.1545287E-08 -7.5868229E-08  2.0892865E-08  1.9816213E-08
 -1.1560414E-07 -5.3032317E-08  3.8970286E-08 -4.6735905E-08 -8.5212018E-08
 -1.2842978E-08 -2.7214315E-08 -4.0978247E-08 -3.1055737E-08 -5.1237503E-08
 -2.2693694E-08 -1.1067453E-08 -6.2216601E-08 -4.2615968E-08  1.2748777E-09
 -4.4245263E-08 -2.9079533E-08 -2.2255603E-08 -3.4971011E-08 -3.6343732E-08
 -2.2223546E-08  7.7702987E-09 -3.6243171E-08  1.5323749E-08  9.6706872E-10
 -2.5823509E-08  3.4090432E-08  6.6653225E-09 -5.5095150E-09 -3.2979000E-09
 -3.2673237E-09  1.1567208E-08  2.2439323E-08 -2.3300173E-08 -2.8432674E-10
  4.4952691E-08  4.4890441E-09  1.3214539E-08  2.1390970E-08 -4.3824014E-09
  9.1572809E-09  3.0157681E-08 -2.5931166E-08  1.8569996E-09  4.8542138E-08
 -1.2206925E-08  1.3456862E-08  2.8889662E-08 -1.3189824E-08  7.6317703E-09
  2.3944874E-08  7.9597209E-09 -1.6987705E-09  4.9393632E-10  1.2274900E-08
  1.1378592E-08  3.9085136E-09  1.4091669E-08 -8.5232512E-09  2.5242493E-08
  3.6578648E-08 -1.2602503E-08 -1.2912238E-08  4.2129392E-10  5.4755686E-08
 -2.5042375E-08 -2.0858238E-08  4.1904428E-08  1.7573404E-08  6.8132550E-09
 -2.6919779E-08  1.6900637E-08  3.9889083E-08  1.9390740E-08 -1.7128872E-08
  2.9579481E-08  1.9301414E-08 -1.0257251E-08  2.3141501E-08  4.4269615E-09
  2.9734922E-08  1.2297508E-08 -1.3781307E-08  2.4717838E-08  3.1399413E-08
 -8.9007346E-10 -1.0857657E-08  2.9408404E-08  1.5362828E-08 -3.7985280E-09
 -3.3991335E-09 -1.8572669E-08  3.3575595E-08  1.9392469E-09 -3.0969472E-08
  7.2209915E-09  2.5587540E-08 -4.5672991E-09 -2.9942003E-08  4.4787596E-09
  4.1504695E-09  1.4076187E-08 -4.3359550E-08 -2.2432767E-08  5.1066804E-08
 -3.5329238E-09 -2.0883869E-08 -2.8048499E-08  1.4985928E-08  2.1012093E-08
 -3.3247431E-08 -1.2914179E-08  6.6091672E-08  1.9722462E-10 -5.2780115E-08
  2.0351041E-08  3.0793853E-08 -5.0503651E-09 -3.7394118E-09  4.4998448E-08
 -1.0422006E-08  4.0261860E-08  4.2536701E-08 -9.3994343E-09  2.9032820E-08
  2.6224333E-08  2.9785604E-08 -7.1172401E-10  2.9815621E-08  2.6486058E-08
  1.3806379E-08  1.4087796E-08  1.5434458E-08  6.2879679E-08  3.6921551E-09
 -8.2711827E-09  7.1217393E-08  1.3017343E-08 -4.1032961E-09  2.8226493E-08
  2.8775644E-08  2.3155772E-08 -9.2864667E-09  2.1112828E-08  3.7073253E-08
 -1.2619170E-08 -1.5891158E-08  3.3641307E-08 -6.4077603E-10 -9.7683089E-10
  2.3198067E-08 -3.8763685E-08 -1.5897291E-08  1.7888315E-08 -2.4349450E-08
 -2.7152790E-08 -1.7465585E-08 -2.5898696E-10  2.0802583E-08 -3.3697646E-08
 -2.0630517E-08  3.0965017E-08 -1.6792920E-08 -2.6051422E-08  5.2657815E-09
 -3.2413604E-08 -4.5132593E-08 -3.0461986E-10 -1.9243650E-08 -2.0467797E-08
 -1.4841702E-08 -2.6620363E-08  3.3225271E-09 -3.4308103E-08 -4.9308477E-08
 -9.7590903E-09 -2.6619191E-08 -4.4765526E-08  1.3084993E-09 -8.9893952E-09
 -4.4905734E-08  6.0668621E-09 -1.5793769E-08 -3.6706716E-08  3.2682806E-09
 -1.0632562E-08 -9.1468901E-09 -1.9043655E-08 -3.8035666E-08  4.0138879E-09
 -1.3274911E-08 -3.9612720E-08 -2.1160595E-08 -2.0705208E-09 -4.0624238E-08
 -1.7356347E-08  5.3373453E-09 -4.6506903E-08  5.8644197E-09 -7.4911074E-09
 -3.4214739E-08 -3.6867756E-08 -1.2359427E-08 -1.4308325E-08 -5.3135687E-08
  4.2498722E-10 -3.3996228E-08 -1.7445007E-08 -1.5257296E-08 -2.8970334E-08
 -1.6420339E-09 -5.2573957E-08 -1.5135079E-08 -1.1885586E-08 -4.1472801E-08
 -1.2345195E-08 -7.1091606E-09 -3.7251261E-08  1.7235534E-09  1.0877518E-08
 -6.4843357E-08  8.9870223E-09  2.8412617E-08 -3.8663569E-08 -1.9687730E-08
  3.7221302E-09  1.5027514E-08 -3.3495892E-09 -6.3069535E-09  3.1620215E-08
  3.0596119E-09  6.2122759E-09  2.6855929E-08  7.7315164E-09  3.3466688E-08
  5.6979432E-09  1.7239222E-08  4.1811398E-08  2.3985300E-08  2.0467245E-08
  5.5842194E-09  3.5645515E-08  5.1570535E-08  1.5882985E-08  1.4791696E-08
  5.2023380E-08  2.3800773E-08  2.1482625E-08  3.0819990E-08  3.5344173E-10
  3.1907825E-08  2.9301401E-08  2.2091603E-08  2.7455833E-08  8.9777962E-09
  2.6602427E-08  5.2708147E-08  1.5000351E-08 -2.4633747E-09  4.3654146E-08
  2.8114863E-08  1.4467155E-08  3.4749208E-08  2.1721890E-08  8.8266067E-09
  4.8060994E-08  4.4072564E-08  1.0556793E-09  2.7976374E-08  4.0205400E-08
